Timestamp,Temperature (°C),Humidity (%),lpg,co,smoke
2024-10-08 15:47:09.541,27.2,40.0,256589463552.0,1.7899858174148608e+16,3360843264.0
2024-10-08 15:47:18.791,27.3,37.0,2023164.62,32752142336.0,23732908.0
2024-10-08 15:47:27.905,27.2,37.0,1949150.87,16951531520.0,20110282.0
2024-10-08 15:47:46.869,27.2,37.0,1022381632.0,34028679856128.0,616622016.0
2024-10-08 15:48:07.848,27.3,38.0,25578386.0,4901215744.0,6686636.5
2024-10-08 15:48:25.957,27.3,38.0,506251.91,3242418176.0,19556290.0
2024-10-08 15:48:31.997,27.2,37.0,380393.5,1736628736.0,3340447.5
2024-10-08 15:48:37.041,27.3,38.0,316453.53,1346997760.0,3159452.75
2024-10-08 15:48:56.079,27.4,38.0,5636765.5,1470300416.0,2762154.25
2024-10-08 15:49:10.547,27.4,39.0,0.17,0.08,0.72
2024-10-08 15:49:16.724,27.5,37.0,0.05,4.42,77.93
2024-10-08 15:49:22.776,27.4,37.0,0.05,0.47,0.62
2024-10-08 15:49:46.763,27.4,39.0,8.73,455.46,0.6
2024-10-08 15:49:55.734,27.4,39.0,0.22,291.42,114.41
2024-10-08 15:50:01.802,27.5,38.0,0.05,0.51,0.18
2024-10-08 15:50:13.805,27.6,38.0,0.84,353.28,96.49
2024-10-08 15:50:19.933,27.5,37.0,12.1,0.32,0.13
2024-10-08 15:50:28.622,27.6,37.0,0.06,0.31,0.51
2024-10-08 15:50:37.641,27.7,37.0,0.05,0.42,0.13
2024-10-08 15:50:43.570,27.7,37.0,0.05,0.45,0.63
2024-10-08 15:50:49.716,27.6,38.0,0.06,0.59,0.15
2024-10-08 15:50:55.693,27.7,38.0,0.13,0.08,104.23
2024-10-08 15:51:01.676,27.6,38.0,1.28,197.93,83.82
2024-10-08 15:51:07.692,27.5,37.0,0.12,0.42,0.56
2024-10-08 15:51:13.814,27.6,37.0,9.25,4.66,80.1
2024-10-08 15:51:22.552,27.6,37.0,7.92,0.21,0.67
2024-10-08 15:51:28.661,27.7,37.0,0.51,89.81,46.72
2024-10-08 15:51:34.910,27.5,37.0,0.11,133.6,26.56
2024-10-08 15:51:41.068,27.6,36.0,0.09,0.04,0.4
2024-10-08 15:51:50.246,27.7,37.0,0.08,0.22,0.1
2024-10-08 15:51:56.204,27.6,37.0,0.33,51.6,25.21
2024-10-08 15:52:02.214,27.6,36.0,0.04,0.22,0.1
2024-10-08 15:52:08.187,27.6,37.0,0.36,110.96,24.52
2024-10-08 15:54:20.514,27.7,36.0,0.05,0.02,0.16
2024-10-08 15:54:43.600,27.7,36.0,0.02,0.08,0.05
2024-10-08 15:54:08.503,27.6,36.0,2.39,13.15,1.26
2024-10-08 15:52:41.239,27.6,38.0,0.17,0.27,0.12
2024-10-08 15:55:25.375,27.5,36.0,0.02,0.08,0.21
2024-10-08 15:53:05.283,27.7,38.0,0.12,72.94,30.89
2024-10-08 15:56:16.437,27.7,37.0,0.05,0.02,0.18
2024-10-08 15:55:52.426,27.6,38.0,0.07,0.09,0.06
2024-10-08 15:56:52.526,27.6,38.0,0.02,0.09,0.06
2024-10-08 15:57:40.615,27.7,37.0,0.17,0.51,0.18
2024-10-08 15:56:40.506,27.6,37.0,0.29,0.02,0.2
2024-10-08 15:57:52.685,27.6,37.0,0.04,0.01,0.13
2024-10-08 15:58:19.716,27.7,36.0,0.04,0.01,0.15
2024-10-08 15:59:19.989,27.7,38.0,0.02,0.12,0.06
2024-10-08 15:58:55.945,27.7,37.0,0.0,0.0,0.04
2024-10-08 15:59:38.258,27.6,38.0,0.05,0.03,1.37
2024-10-08 15:59:47.354,27.7,38.0,0.62,25.93,17.76
2024-10-08 15:55:13.364,27.7,36.0,1.88,0.02,0.19
2024-10-08 15:59:56.315,27.6,39.0,0.46,38.9,28.07
2024-10-08 16:00:32.387,27.8,38.0,0.02,0.09,0.06
2024-10-08 16:00:08.341,27.7,39.0,3.99,77.23,2.23
2024-10-08 16:00:56.408,27.8,38.0,1.55,0.02,0.16
2024-10-08 15:59:26.226,27.7,38.0,0.02,0.09,0.06
2024-10-08 16:01:08.469,27.7,38.0,0.04,0.02,0.88
2024-10-08 16:01:47.261,27.9,37.0,1.64,26.71,1.26
2024-10-08 16:01:56.284,27.8,37.0,0.06,0.11,13.32
2024-10-08 16:02:17.213,27.7,38.0,2.32,33.25,1.2
2024-10-08 16:02:56.955,27.8,38.0,0.02,23.08,1.17
2024-10-08 16:01:35.214,27.8,37.0,0.07,0.03,0.25
2024-10-08 16:03:09.160,27.7,37.0,0.04,0.11,0.04
2024-10-08 16:03:21.253,27.7,37.0,0.02,0.03,0.06
2024-10-08 16:03:45.203,27.8,37.0,0.01,0.03,0.08
2024-10-08 16:00:44.398,27.7,38.0,0.05,0.47,8.12
2024-10-08 16:02:44.227,27.8,38.0,0.07,0.04,2.0
2024-10-08 16:04:18.376,27.9,38.0,0.22,15.83,0.05
2024-10-08 16:04:03.454,27.9,37.0,1.08,8.13,0.14
2024-10-08 16:04:31.220,27.7,38.0,0.19,0.07,8.54
2024-10-08 15:58:31.826,27.6,36.0,0.95,7.51,0.22
2024-10-08 16:04:52.390,27.8,38.0,0.13,0.1,0.07
2024-10-08 16:03:51.356,27.8,36.0,0.01,0.03,0.03
2024-10-08 16:04:40.324,27.9,37.0,1.72,10.24,10.65
